month,decision,cash in yen,cash in dollar
0,,0,0
0,T110,-18087087.9275062,0
3,T110,-131309904.7091427,0
6,T110,-225645877.1377615,0
9,T110,-285347254.8066931,-32683057150.939873
12,T110,-404089193.2081877,-32683057150.939873
15,T110,-501382562.51255155,-32683057150.939873
18,T110,-594423321.7099643,-32683057150.939873
21,T110,-694622411.895097,-78519450399.71161
24,T110,-794423337.855865,-78519450399.71161
27,T110,-888516160.5083432,-78519450399.71161
30,T110,-977806480.404077,-78519450399.71161
33,T110,-1046939980.0369354,-119789709546.37491
36,T110,-1113741514.3356423,-119789709546.37491
39,T110,-1181396478.0538032,-119789709546.37491
42,T110,-1197128000.8894956,-119789709546.37491
45,T110,-1202885732.671894,-138472010712.0443
48,T110,-1201343082.1819508,-138472010712.0443
51,T110,-1186978666.3865628,-138472010712.0443
54,T110,-1126570614.3968787,-138472010712.0443
57,T100,-990516255.878995,-110949525872.37804
60,T000,-815220888.6401236,-110949525872.37804
63,T000,-632092829.5576864,-110949525872.37804
66,T100,-516902816.92261684,-110949525872.37804
69,T100,-358544178.56645226,-39373117224.17195
72,T100,-215682178.9372988,-39373117224.17195
75,T100,-54788106.55195087,-39373117224.17195
78,T100,90611206.38815868,-39373117224.17195
81,T100,216944789.2712555,31932657574.360672
84,T101,392303469.3293721,31932657574.360672
87,T101,542484893.1997144,31932657574.360672
90,T111,649658118.1014848,31932657574.360672
93,T111,760477670.5755994,90788555847.25165
96,T111,851561484.0867295,90788555847.25165
99,T101,978768670.8354106,90788555847.25165
102,T101,1101008556.056085,90788555847.25165
105,T101,1215950387.3908064,140108949900.73148
108,T101,1316406160.6773536,140108949900.73148
111,T101,1418518765.7466493,140108949900.73148
114,T001,1568752002.9627733,140108949900.73148
117,T001,1737311218.6617146,182269045635.14304
120,T001,1891115890.5169704,182269045635.14304
123,T001,2049602222.6426697,182269045635.14304
126,T001,2201995092.798091,182269045635.14304
129,T001,2353123874.5761247,236139485794.22534
132,T001,2489271215.631079,236139485794.22534
135,T001,2616900596.647034,236139485794.22534
138,T001,2738451974.217581,236139485794.22534
141,T001,2832269755.128895,272770263757.50342
144,T001,2903223006.0461936,272770263757.50342
147,T001,2957124446.592165,272770263757.50342
150,T001,3005742359.300488,272770263757.50342
153,T001,3052855273.7588654,290809458479.80853
156,T001,3088751126.77849,290809458479.80853
159,T000,3105573455.017468,290809458479.80853
162,T000,3125968687.0340934,290809458479.80853
165,T000,3146110231.680826,299059398769.4986
168,T000,3162110383.8705835,299059398769.4986
171,T000,3176864190.334531,299059398769.4986
174,T000,3187103251.7992587,299059398769.4986
177,T000,3198115759.2348313,303980815556.2613
180,,3208599443.8358064,303980815556.2613
183,,3219208350.854709,303980815556.2613
186,,3231218503.3971577,303980815556.2613
189,,3242568258.536383,307913372850.1287
192,,3252321857.7780204,307913372850.1287
195,,3261398867.3119674,307913372850.1287
198,,3270193018.716152,307913372850.1287
201,,3282132284.807539,312294830049.4094
204,,3293101739.684261,312294830049.4094
207,,3303730503.4198675,312294830049.4094
210,,3312045825.5175734,312294830049.4094
213,,3318233327.289305,315417633828.1518
216,,3321461016.174292,315417633828.1518
219,,3323651346.29805,315417633828.1518
222,,3325994017.8633113,315417633828.1518
225,,3327955670.1891017,316268130949.8973
228,,3329391249.3162527,316268130949.8973
231,,3330479920.9144893,316268130949.8973
234,,3330479920.9144893,316268130949.8973
237,,3330479920.9144893,316469976285.0154
